date,Close
2019-01-02,47.12
2019-01-03,45.13
2019-01-04,46.02
2019-01-07,46.32
2019-01-08,46.87
2019-01-09,46.94
2019-01-10,45.19
2019-01-11,44.47
2019-01-14,42.8
2019-01-15,43.01
2019-01-16,42.62
2019-01-17,43.71
2019-01-18,43.35
2019-01-22,44.06
2019-01-23,44.62
2019-01-24,44.96
2019-01-25,45.91
2019-01-28,46.9
2019-01-29,46.85
2019-01-30,48.0
2019-01-31,48.59
2019-02-01,49.65
2019-02-04,50.83
2019-02-05,51.07
2019-02-06,50.94
2019-02-07,50.44
2019-02-08,51.49
2019-02-11,52.02
2019-02-12,53.6
2019-02-13,53.95
2019-02-14,54.38
2019-02-15,55.0
2019-02-19,55.04
2019-02-20,55.54
2019-02-21,55.54
2019-02-22,56.18
2019-02-25,56.64
2019-02-26,56.73
2019-02-27,56.25
2019-02-28,55.82
2019-03-01,56.65
2019-03-04,55.34
2019-03-05,55.12
2019-03-06,53.73
2019-03-07,53.13
2019-03-08,52.35
2019-03-11,54.15
2019-03-12,54.7
2019-03-13,54.95
2019-03-14,57.18
2019-03-15,60.23
2019-03-18,60.49
2019-03-19,60.44
2019-03-20,59.63
2019-03-21,60.71
2019-03-22,59.55
2019-03-25,57.29
2019-03-26,58.89
2019-03-27,57.54
2019-03-28,56.92
2019-03-29,58.69
2019-04-01,60.43
2019-04-02,61.27
2019-04-03,61.59
2019-04-04,60.34
2019-04-05,62.2
2019-04-08,62.49
2019-04-09,61.73
2019-04-10,63.29
2019-04-11,63.86
2019-04-12,63.51
2019-04-15,63.88
2019-04-16,62.79
2019-04-17,62.75
2019-04-18,62.85
2019-04-22,63.25
2019-04-23,65.0
2019-04-24,66.25
2019-04-25,67.0
2019-04-26,65.36
2019-04-29,65.55
2019-04-30,67.41
2019-05-01,68.58
2019-05-02,68.14
2019-05-03,68.7
2019-05-06,68.19
2019-05-07,67.49
2019-05-08,67.1
2019-05-09,67.09
2019-05-10,67.16
2019-05-13,64.04
2019-05-14,66.15
2019-05-15,67.9
2019-05-16,69.8
2019-05-17,69.43
2019-05-20,68.0
2019-05-21,69.65
2019-05-22,69.0
2019-05-23,65.7
2019-05-24,66.12
2019-05-28,66.41
2019-05-29,66.2
2019-05-30,66.41
2019-05-31,59.55
2019-06-03,55.86
2019-06-04,57.68
2019-06-05,54.5
2019-06-06,53.23
2019-06-07,54.3
2019-06-10,54.2
2019-06-11,54.34
2019-06-12,53.03
2019-06-13,53.83
2019-06-14,51.32
2019-06-17,50.63
2019-06-18,51.51
2019-06-19,53.42
2019-06-20,54.41
2019-06-21,53.99
2019-06-24,53.3
2019-06-25,52.31
2019-06-26,53.23
2019-06-27,52.21
2019-06-28,50.8
2019-07-01,51.56
2019-07-02,52.18
2019-07-03,52.92
2019-07-05,52.37
2019-07-08,51.29
2019-07-09,51.1
2019-07-10,52.29
2019-07-11,53.48
2019-07-12,53.78
2019-07-15,55.22
2019-07-16,56.01
2019-07-17,56.5
2019-07-18,57.39
2019-07-19,56.8
2019-07-22,56.42
2019-07-23,55.46
2019-07-24,56.22
2019-07-25,55.07
2019-07-26,55.28
2019-07-29,55.97
2019-07-30,57.23
2019-07-31,57.74
2019-08-01,57.69
2019-08-02,52.41
2019-08-05,50.42
2019-08-06,50.77
2019-08-07,50.38
2019-08-08,51.33
2019-08-09,50.43
2019-08-12,49.51
2019-08-13,49.52
2019-08-14,48.6
2019-08-15,46.9
2019-08-16,48.43
2019-08-19,49.05
2019-08-20,48.47
2019-08-21,48.98
2019-08-22,49.04
2019-08-23,45.81
2019-08-26,46.41
2019-08-27,45.6
2019-08-28,45.3
2019-08-29,46.77
2019-08-30,51.53
2019-09-03,51.07
2019-09-04,51.2
2019-09-05,52.92
2019-09-06,53.36
2019-09-09,54.29
2019-09-10,55.48
2019-09-11,55.3
2019-09-12,54.15
2019-09-13,53.51
2019-09-16,54.1
2019-09-17,53.85
2019-09-18,52.8
2019-09-19,53.04
2019-09-20,51.85
2019-09-23,52.94
2019-09-24,52.2
2019-09-25,53.74
2019-09-26,52.15
2019-09-27,50.95
2019-09-30,51.86
2019-10-01,51.64
2019-10-02,50.78
2019-10-03,51.06
2019-10-04,50.27
2019-10-07,50.52
2019-10-08,48.81
2019-10-09,49.46
2019-10-10,49.0
2019-10-11,50.3
2019-10-14,50.68
2019-10-15,51.13
2019-10-16,50.54
2019-10-17,50.37
2019-10-18,49.87
2019-10-21,49.99
2019-10-22,49.98
2019-10-23,50.3
2019-10-24,51.01
2019-10-25,51.68
2019-10-28,51.59
2019-10-29,53.25
2019-10-30,53.75
2019-10-31,52.89
2019-11-01,53.24
2019-11-04,53.84
2019-11-05,54.43
2019-11-06,54.33
2019-11-07,54.31
2019-11-08,54.31
2019-11-11,54.52
2019-11-12,55.43
2019-11-13,54.78
2019-11-14,55.05
2019-11-15,55.64
2019-11-18,55.57
2019-11-19,56.21
2019-11-20,55.27
2019-11-21,53.71
2019-11-22,53.61
2019-11-25,55.06
2019-11-26,53.19
2019-11-27,50.32
2019-11-29,48.49
2019-12-02,47.72
2019-12-03,47.4
2019-12-04,47.68
2019-12-05,47.34
2019-12-06,47.12
2019-12-09,47.65
2019-12-10,47.36
2019-12-11,47.71
2019-12-12,49.5
2019-12-13,49.35
2019-12-16,49.49
2019-12-17,49.93
2019-12-18,50.0
2019-12-19,49.89
2019-12-20,49.62
2019-12-23,50.46
2019-12-24,50.83
2019-12-26,52.01
