date,Close
2019-01-02,30.5
2019-01-03,30.01
2019-01-04,31.21
2019-01-07,31.72
2019-01-08,31.94
2019-01-09,31.97
2019-01-10,31.88
2019-01-11,32.18
2019-01-14,32.37
2019-01-15,31.71
2019-01-16,31.67
2019-01-17,32.26
2019-01-18,32.73
2019-01-22,32.55
2019-01-23,32.04
2019-01-24,32.27
2019-01-25,32.71
2019-01-28,32.69
2019-01-29,32.82
2019-01-30,33.09
2019-01-31,33.77
2019-02-01,33.25
2019-02-04,33.82
2019-02-05,34.04
2019-02-06,34.12
2019-02-07,33.89
2019-02-08,34.0
2019-02-11,34.07
2019-02-12,34.61
2019-02-13,34.83
2019-02-14,34.65
2019-02-15,35.1
2019-02-19,34.91
2019-02-20,35.43
2019-02-21,35.59
2019-02-22,35.77
2019-02-25,35.83
2019-02-26,35.58
2019-02-27,35.51
2019-02-28,35.27
2019-03-01,35.29
2019-03-04,35.31
2019-03-05,35.23
2019-03-06,35.16
2019-03-07,35.67
2019-03-08,35.88
2019-03-11,36.14
2019-03-12,36.09
2019-03-13,36.27
2019-03-14,36.01
2019-03-15,35.83
2019-03-18,36.42
2019-03-19,36.37
2019-03-20,36.38
2019-03-21,36.96
2019-03-22,36.13
2019-03-25,36.16
2019-03-26,36.56
2019-03-27,36.47
2019-03-28,36.9
2019-03-29,36.94
2019-04-01,36.92
2019-04-02,36.5
2019-04-03,36.01
2019-04-04,36.14
2019-04-05,36.19
2019-04-08,36.4
2019-04-09,35.87
2019-04-10,35.82
2019-04-11,35.81
2019-04-12,36.08
2019-04-15,36.6
2019-04-16,36.86
2019-04-17,36.59
2019-04-18,36.75
2019-04-22,36.65
2019-04-23,36.96
2019-04-24,37.1
2019-04-25,36.65
2019-04-26,37.19
2019-04-29,37.32
2019-04-30,37.5
2019-05-01,39.29
2019-05-02,38.98
2019-05-03,39.58
2019-05-06,39.59
2019-05-07,39.25
2019-05-08,39.38
2019-05-09,39.59
2019-05-10,39.68
2019-05-13,39.1
2019-05-14,39.25
2019-05-15,39.05
2019-05-16,39.18
2019-05-17,38.95
2019-05-20,39.09
2019-05-21,39.49
2019-05-22,39.21
2019-05-23,38.76
2019-05-24,38.51
2019-05-28,38.46
2019-05-29,38.25
2019-05-30,38.93
2019-05-31,38.52
2019-06-03,39.0
2019-06-04,39.55
2019-06-05,39.46
2019-06-06,39.45
2019-06-07,39.11
2019-06-10,38.81
2019-06-11,38.87
2019-06-12,39.53
2019-06-13,40.27
2019-06-14,39.95
2019-06-17,39.17
2019-06-18,39.66
2019-06-19,39.06
2019-06-20,39.7
2019-06-21,40.09
2019-06-24,40.44
