date,Close
2019-01-02,29.87
2019-01-03,28.02
2019-01-04,30.27
2019-01-07,34.22
2019-01-08,34.01
2019-01-09,36.73
2019-01-10,34.57
2019-01-11,35.15
2019-01-14,34.15
2019-01-15,35.39
2019-01-16,35.4
2019-01-17,35.88
2019-01-18,37.13
2019-01-22,33.08
2019-01-23,31.4
2019-01-24,32.29
2019-01-25,33.2
2019-01-28,31.17
2019-01-29,30.97
2019-01-30,32.24
2019-01-31,32.43
2019-02-01,31.92
2019-02-04,32.58
2019-02-05,32.44
2019-02-06,32.63
2019-02-07,29.78
2019-02-08,30.39
2019-02-11,31.13
2019-02-12,31.64
2019-02-13,31.11
2019-02-14,30.93
2019-02-15,31.52
2019-02-19,32.41
2019-02-20,31.99
2019-02-21,31.18
2019-02-22,31.67
2019-02-25,39.65
2019-02-26,36.2
2019-02-27,36.73
2019-02-28,35.39
2019-03-01,39.97
2019-03-04,39.92
2019-03-05,40.87
2019-03-06,38.39
2019-03-07,38.7
2019-03-08,37.7
2019-03-11,39.04
2019-03-12,39.41
2019-03-13,39.43
2019-03-14,38.55
2019-03-15,38.64
2019-03-18,37.88
2019-03-19,37.24
2019-03-20,37.1
2019-03-21,37.86
2019-03-22,35.59
2019-03-25,34.19
2019-03-26,34.83
2019-03-27,34.21
2019-03-28,34.93
2019-03-29,35.72
2019-04-01,35.45
2019-04-02,37.9
2019-04-03,38.24
2019-04-04,38.15
2019-04-05,38.42
2019-04-08,38.67
2019-04-09,37.68
2019-04-10,38.82
2019-04-11,37.51
2019-04-12,37.91
2019-04-15,37.15
2019-04-16,39.08
2019-04-17,36.43
2019-04-18,36.26
2019-04-22,37.25
2019-04-23,38.68
2019-04-24,38.57
2019-04-25,39.56
2019-04-26,41.02
2019-04-29,40.28
2019-04-30,40.19
2019-05-01,38.82
2019-05-02,40.28
2019-05-03,40.57
2019-05-06,42.09
2019-05-07,39.16
2019-05-08,39.86
2019-05-09,39.99
2019-05-10,40.59
2019-05-13,37.75
2019-05-14,37.62
2019-05-15,38.67
2019-05-16,39.44
2019-05-17,38.83
2019-05-20,37.69
2019-05-21,39.43
2019-05-22,38.82
2019-05-23,36.81
2019-05-24,37.0
2019-05-28,36.72
2019-05-29,36.86
2019-05-30,36.59
2019-05-31,35.57
2019-06-03,35.99
2019-06-04,37.26
2019-06-05,37.53
2019-06-06,37.25
2019-06-07,42.88
2019-06-10,44.38
2019-06-11,43.52
2019-06-12,43.53
2019-06-13,44.26
2019-06-14,43.27
2019-06-17,47.07
2019-06-18,48.2
2019-06-19,46.95
2019-06-20,44.35
2019-06-21,45.41
2019-06-24,43.35
2019-06-25,43.98
2019-06-26,43.92
2019-06-27,45.36
2019-06-28,47.1
2019-07-01,47.71
2019-07-02,46.89
2019-07-03,47.9
2019-07-05,47.59
2019-07-08,47.31
2019-07-09,48.03
2019-07-10,49.83
2019-07-11,49.18
2019-07-12,49.11
2019-07-15,49.28
2019-07-16,48.5
2019-07-17,49.24
2019-07-18,49.72
2019-07-19,49.04
2019-07-22,49.39
2019-07-23,49.11
2019-07-24,49.14
2019-07-25,49.66
2019-07-26,51.92
2019-07-29,51.32
2019-07-30,50.72
2019-07-31,50.69
2019-08-01,52.56
2019-08-02,49.89
2019-08-05,45.0
2019-08-06,47.5
2019-08-07,48.0
2019-08-08,49.05
2019-08-09,50.0
2019-08-12,48.94
2019-08-13,47.27
2019-08-14,46.27
2019-08-15,46.1
2019-08-16,47.55
2019-08-19,48.58
2019-08-20,48.52
2019-08-21,48.98
2019-08-22,48.86
2019-08-23,46.63
2019-08-26,46.71
2019-08-27,44.64
2019-08-28,46.09
2019-08-29,46.74
2019-08-30,46.21
2019-09-03,44.82
2019-09-04,45.48
2019-09-05,46.89
2019-09-06,45.79
2019-09-09,45.43
2019-09-10,46.2
2019-09-11,47.87
2019-09-12,48.04
2019-09-13,47.67
2019-09-16,49.67
