date,Close
2019-03-20,49.8
2019-03-21,48.98
2019-03-22,48.6
2019-03-25,49.15
2019-03-26,48.85
2019-03-27,50.1
2019-03-28,50.85
2019-03-29,51.63
2019-04-01,53.5
2019-04-02,56.25
2019-04-03,56.88
2019-04-04,59.71
2019-04-05,57.24
2019-04-08,57.15
2019-04-09,56.27
2019-04-10,55.71
2019-04-11,54.89
2019-04-12,58.3
2019-04-15,57.78
2019-04-16,58.5
2019-04-17,58.32
2019-04-18,57.77
2019-04-22,57.89
2019-04-23,57.64
2019-04-24,55.98
2019-04-25,55.33
2019-04-26,55.25
2019-04-29,55.5
2019-04-30,56.73
2019-05-01,56.13
2019-05-02,52.7
2019-05-03,53.3
2019-05-06,53.46
2019-05-07,52.95
2019-05-08,52.48
2019-05-09,52.93
2019-05-10,53.07
2019-05-13,50.95
2019-05-14,52.48
2019-05-15,52.95
2019-05-16,52.98
2019-05-17,50.8
2019-05-20,50.08
2019-05-21,50.63
2019-05-22,50.21
2019-05-23,48.71
2019-05-24,49.2
2019-05-28,48.56
2019-05-29,48.71
2019-05-30,48.47
2019-05-31,46.76
2019-06-03,47.96
2019-06-04,49.93
2019-06-05,50.34
2019-06-06,51.06
2019-06-07,51.3
2019-06-10,51.62
2019-06-11,52.04
2019-06-12,52.49
2019-06-13,52.88
2019-06-14,51.15
2019-06-17,49.35
2019-06-18,49.61
2019-06-19,48.5
2019-06-20,48.93
2019-06-21,48.36
2019-06-24,49.58
2019-06-25,49.69
2019-06-26,50.45
2019-06-27,50.91
2019-06-28,49.31
2019-07-01,50.16
2019-07-02,49.4
2019-07-03,49.33
2019-07-05,49.31
2019-07-08,48.52
2019-07-09,47.87
2019-07-10,47.55
2019-07-11,47.78
2019-07-12,49.71
2019-07-15,50.93
2019-07-16,52.32
2019-07-17,51.6
2019-07-18,51.75
2019-07-19,51.52
2019-07-22,50.88
2019-07-23,52.62
2019-07-24,52.79
2019-07-25,50.77
2019-07-26,49.11
2019-07-29,48.05
2019-07-30,48.4
2019-07-31,48.44
2019-08-01,46.85
2019-08-02,45.6
2019-08-05,44.77
2019-08-06,44.43
2019-08-07,44.89
2019-08-08,46.79
2019-08-09,46.64
2019-08-12,45.69
2019-08-13,46.85
2019-08-14,44.08
2019-08-15,43.38
2019-08-16,44.51
2019-08-19,45.6
2019-08-20,43.16
2019-08-21,43.28
2019-08-22,42.05
2019-08-23,40.71
2019-08-26,40.82
2019-08-27,41.17
2019-08-28,42.52
2019-08-29,42.37
2019-08-30,42.63
2019-09-03,41.8
2019-09-04,42.54
2019-09-05,43.36
2019-09-06,43.24
2019-09-09,44.45
2019-09-10,46.32
2019-09-11,46.88
2019-09-12,46.97
2019-09-13,48.2
2019-09-16,49.01
2019-09-17,48.0
2019-09-18,47.51
2019-09-19,47.64
2019-09-20,48.21
2019-09-23,47.91
2019-09-24,46.6
2019-09-25,47.68
2019-09-26,47.23
2019-09-27,47.07
2019-09-30,47.65
2019-10-01,45.97
2019-10-02,44.93
2019-10-03,45.31
2019-10-04,45.34
2019-10-07,45.17
2019-10-08,43.85
2019-10-09,44.01
2019-10-10,44.92
2019-10-11,47.13
2019-10-14,46.82
2019-10-15,47.2
2019-10-16,47.12
2019-10-17,47.81
2019-10-18,47.96
2019-10-21,47.12
2019-10-22,46.82
2019-10-23,47.23
2019-10-24,49.47
2019-10-25,50.48
2019-10-28,51.21
2019-10-29,51.49
2019-10-30,51.03
2019-10-31,50.49
2019-11-01,52.31
2019-11-04,54.17
2019-11-05,54.2
2019-11-06,54.28
2019-11-07,55.8
2019-11-08,55.99
2019-11-11,55.81
2019-11-12,55.16
2019-11-13,53.66
2019-11-14,53.95
2019-11-15,54.86
2019-11-18,54.32
2019-11-19,53.39
2019-11-20,52.67
2019-11-21,53.88
2019-11-22,54.2
2019-11-25,55.2
2019-11-26,55.37
2019-11-27,54.28
2019-11-29,53.37
2019-12-02,53.16
2019-12-03,51.82
2019-12-04,52.28
2019-12-05,52.0
2019-12-06,53.22
2019-12-09,53.27
2019-12-10,53.13
2019-12-11,53.1
2019-12-12,54.45
2019-12-13,53.28
2019-12-16,54.17
2019-12-17,54.66
2019-12-18,54.25
2019-12-19,54.52
2019-12-20,54.61
2019-12-23,54.93
2019-12-24,54.9
2019-12-26,55.22
2019-12-27,54.83
2019-12-30,54.34
2019-12-31,54.73
2020-01-02,53.75
2020-01-03,52.42
2020-01-06,52.21
2020-01-07,52.19
2020-01-08,52.73
2020-01-09,52.19
2020-01-10,51.5
2020-01-13,52.35
2020-01-14,52.24
2020-01-15,52.27
2020-01-16,52.48
2020-01-17,53.34
2020-01-21,52.6
2020-01-22,50.87
2020-01-23,50.25
2020-01-24,48.49
2020-01-27,47.18
2020-01-28,47.16
2020-01-29,49.67
2020-01-30,48.47
2020-01-31,46.07
2020-02-03,46.74
2020-02-04,48.05
2020-02-05,49.61
2020-02-06,49.2
2020-02-07,48.03
2020-02-10,48.19
2020-02-11,48.79
2020-02-12,49.38
2020-02-13,48.3
2020-02-14,48.63
2020-02-18,47.74
2020-02-19,47.56
2020-02-20,48.76
2020-02-21,48.3
2020-02-24,46.24
2020-02-25,43.95
2020-02-26,43.05
2020-02-27,39.55
2020-02-28,40.41
2020-03-02,41.42
2020-03-03,40.56
2020-03-04,41.91
2020-03-05,40.1
2020-03-06,38.97
2020-03-09,30.53
2020-03-10,31.4
2020-03-11,27.99
2020-03-12,23.67
2020-03-13,25.69
2020-03-16,22.0
2020-03-17,26.6
2020-03-18,26.44
2020-03-19,28.12
2020-03-20,27.44
2020-03-23,26.58
2020-03-24,28.47
2020-03-25,30.38
2020-03-26,29.68
2020-03-27,28.56
2020-03-30,28.65
2020-03-31,29.24
2020-04-01,27.04
2020-04-02,28.03
2020-04-03,27.97
2020-04-06,30.54
2020-04-07,32.33
2020-04-08,34.79
2020-04-09,36.56
2020-04-13,35.23
2020-04-14,35.37
2020-04-15,32.23
2020-04-16,31.63
2020-04-17,33.42
2020-04-20,31.53
2020-04-21,30.88
2020-04-22,31.84
2020-04-23,32.56
2020-04-24,33.12
2020-04-27,34.44
2020-04-28,35.87
2020-04-29,37.47
2020-04-30,36.69
2020-05-01,33.93
2020-05-04,33.06
2020-05-05,33.37
2020-05-06,31.96
2020-05-07,32.85
2020-05-08,34.33
2020-05-11,33.9
2020-05-12,33.79
2020-05-13,32.35
2020-05-14,33.51
2020-05-15,33.56
2020-05-18,36.74
2020-05-19,35.64
2020-05-20,36.18
2020-05-21,35.82
2020-05-22,36.12
2020-05-26,38.79
2020-05-27,39.82
2020-05-28,38.71
2020-05-29,38.6
2020-06-01,38.61
