date,Close
2019-01-02,65.26
2019-01-03,65.02
2019-01-04,67.49
2019-01-07,68.44
2019-01-08,67.77
2019-01-09,67.72
2019-01-10,67.96
2019-01-11,69.0
2019-01-14,67.91
2019-01-15,67.14
2019-01-16,66.69
2019-01-17,66.25
2019-01-18,66.96
2019-01-22,66.83
2019-01-23,67.8
2019-01-24,68.66
2019-01-25,68.48
2019-01-28,67.62
2019-01-29,67.78
2019-01-30,68.32
2019-01-31,69.62
2019-02-01,69.63
2019-02-04,69.41
2019-02-05,66.85
2019-02-06,66.94
2019-02-07,68.28
2019-02-08,68.38
2019-02-11,68.44
2019-02-12,69.6
2019-02-13,69.07
2019-02-14,70.5
2019-02-15,72.05
2019-02-19,72.52
2019-02-20,72.75
2019-02-21,73.41
2019-02-22,73.2
2019-02-25,73.05
2019-02-26,72.53
2019-02-27,72.12
2019-02-28,72.21
2019-03-01,72.34
2019-03-04,71.65
2019-03-05,71.41
2019-03-06,70.78
2019-03-07,71.32
2019-03-08,70.65
2019-03-11,71.47
2019-03-12,71.7
2019-03-13,72.25
2019-03-14,72.34
2019-03-15,73.46
2019-03-18,73.68
2019-03-19,72.59
2019-03-20,72.06
2019-03-21,72.26
2019-03-22,71.9
2019-03-25,72.31
2019-03-26,73.34
2019-03-27,72.24
2019-03-28,69.15
2019-03-29,69.1
2019-04-01,69.97
2019-04-02,69.73
2019-04-03,69.0
2019-04-04,70.05
2019-04-05,70.35
2019-04-08,71.23
2019-04-09,71.42
2019-04-10,72.16
2019-04-11,73.0
2019-04-12,73.71
2019-04-15,73.79
2019-04-16,74.1
2019-04-17,72.46
2019-04-18,73.75
2019-04-22,73.72
2019-04-23,73.75
2019-04-24,73.33
2019-04-25,72.71
2019-04-26,72.92
2019-04-29,73.6
2019-04-30,72.99
2019-05-01,73.58
2019-05-02,73.61
2019-05-03,74.74
2019-05-06,74.46
2019-05-07,74.0
2019-05-08,72.63
2019-05-09,74.25
2019-05-10,75.23
2019-05-13,73.42
2019-05-14,73.6
2019-05-15,74.63
2019-05-16,75.38
2019-05-17,75.37
2019-05-20,78.29
2019-05-21,77.15
2019-05-22,76.35
2019-05-23,76.01
2019-05-24,77.27
2019-05-28,75.91
2019-05-29,76.13
2019-05-30,76.03
2019-05-31,73.44
2019-06-03,74.2
2019-06-04,75.69
2019-06-05,76.29
2019-06-06,75.95
2019-06-07,77.03
2019-06-10,76.67
2019-06-11,75.46
2019-06-12,75.38
